All.Differences,No.One.time,No.Casual,No.Main,No.Condoms,No.Acts,No.Differences
1.706428389,1.325078504,2.170594164,1.503613869,1.49993092,1.747731116,0.895101513
2.081516032,1.438421432,1.567643239,2.014164974,1.801617144,1.865464774,0.961091509
1.867389751,1.599293903,1.947476189,1.868049938,1.566867028,1.37901765,0.953119794
2.24372633,1.137234416,1.426379852,1.019429492,1.854499318,1.919439675,1.011799786
1.952471796,1.469735925,1.469280014,1.518860837,1.463783079,1.593861845,0.842077563
1.886290618,1.390807994,1.055498066,1.492609911,1.496773436,2.33262919,0.503714713
2.020486411,1.243033593,1.317386199,1.708394742,1.260625125,1.440588941,0.979986265
1.906968,1.465361444,1.393995558,1.596989914,1.530813644,1.581497922,0.6970256
1.910208661,1.325477542,1.430558482,1.773749917,1.738313492,1.876047645,0.926786415
1.739397574,1.320757956,1.597074388,1.816222037,1.374263826,0.73349361,0.907265735
1.816604674,0.870652416,1.145859384,1.681334893,1.634664618,1.30097668,0.983734868
1.861489725,1.196572236,1.709816809,1.328909733,1.53086794,2.039745034,1.088926465
2.080250041,1.327212311,1.496539996,1.499663736,1.498303414,2.494883637,0.855982372
1.241479622,0.694593202,0.853638994,2.157250987,2.02677627,1.700880951,1.120131943
1.597320921,1.395969553,1.383670639,1.853493614,1.601597991,1.328183662,1.033665703
1.774610509,1.82327856,1.766616837,1.455675469,2.159089902,1.410012648,0.792011891
1.62271783,1.224492807,1.302158658,1.643644102,1.167617897,1.873092445,1.033193632
1.897083301,1.556803855,1.570403697,2.261337673,2.041431685,1.918076892,0.801691187
1.449793908,1.119586551,1.881666254,1.555778355,1.41913978,1.735980872,0.638803481
1.504374876,1.335509927,1.337643683,1.715170103,1.314660952,1.862272642,0.633048793
2.678585317,1.565407541,1.742840733,1.904567228,1.535345742,2.273775642,1.141373762
2.315108256,1.128127634,2.420478262,2.047342777,1.442401431,1.314511521,1.022565816
2.432753376,1.188372423,1.762542141,1.670276216,1.199832415,1.202978833,0.82080279
1.535514203,1.477520069,1.523087143,1.303471616,2.073473665,1.7930013,1.006444441
1.498441017,1.165029307,1.580504445,1.990035128,1.759049135,1.498689928,1.172039382
2.536552307,1.038509995,1.297843624,1.555378806,1.344450378,1.862069872,0.758276517
1.946844773,0.789238794,1.743030891,1.598286399,1.446669476,1.48859994,1.087414478
1.87790079,1.365327388,1.485114259,1.584247233,2.201795992,1.680083621,0.873234051
