"Condition","Meth","NoMeth"
"All Differences",0.487339356929645,1.30538004572281
"All Differences",0.420488586501794,1.10836049847916
"All Differences",0.365638908981309,0.927462218270581
"All Differences",0.340062572274638,0.486707536365464
"All Differences",0.474517584244569,0.53339058707473
"All Differences",0.709884512987539,0.855081589706838
"All Differences",0.783716032168825,1.49879538649607
"All Differences",0.737085434267029,1.59781655245636
"All Differences",0.629968357620204,1.63731642673253
"All Differences",0.576840215676886,1.53831111282108
"No Casual",0.535381374741955,1.20819416006165
"No Casual",0.40928011509599,0.990653621809681
"No Casual",0.316074177397921,0.686068764751601
"No Casual",0.377459490552131,0.552950533568407
"No Casual",0.448530961831372,0.4429934825058
"No Casual",0.498331474640936,0.372990109013693
"No Casual",0.574683848844815,0.34866723985769
"No Casual",0.672240358025476,0.620609681957665
"No Casual",0.747776097953005,0.835196040222563
"No Casual",0.782874873075646,1.0445474084699
"No Casual",0.73183884477352,1.24295065752285
"No Casual",0.621253639879788,1.34345832147076
"No Main",0.514507504879173,1.62000194179719
"No Main",0.441271711555298,1.41256885285378
"No Main",0.383543124344973,0.772519127001382
"No Main",0.394773894075595,0.64286275369149
"No Main",0.433897512483847,0.517774075270524
"No Main",0.455443662626094,0.517478464873509
"No Main",0.528474633870674,0.538742627746631
"No Main",0.607140924357443,0.632846136287748
"No Main",0.703743056000157,0.876879998825897
"No Main",0.711013192971229,1.29418855730234
"No Main",0.675548758496462,1.40968894436959
"No One-time",0.706684385106715,1.26665746855736
"No One-time",0.622906997767916,1.18158834760276
"No One-time",0.478705531643977,0.764728993386697
"No One-time",0.555559881679106,0.469722804417235
"No One-time",0.749428695349261,0.52054807742554
"No One-time",0.907014208303886,0.715850799649226
"No One-time",0.931225344432269,1.05822714655399
"No One-time",0.9089389455061,1.18201095673231
"No One-time",0.850293584195146,1.40437647667878
"No Condoms",0.393336727990712,1.2110044276648
"No Condoms",0.306281295342436,0.714822836923
"No Condoms",0.314771400916592,0.47561402208914
"No Condoms",0.316602937408782,0.428040706066381
"No Condoms",0.356390123542854,0.377032454283024
"No Condoms",0.40514488909066,0.389215484532843
"No Condoms",0.459376665783279,0.419863990567775
"No Condoms",0.527634547330608,0.539313446777718
"No Condoms",0.570309861410678,0.738035085021929
"No Condoms",0.597129385336664,0.866035209164834
"No Condoms",0.611015965762122,0.93514230726125
"No Condoms",0.613438170828558,1.04637475270463
"No Condoms",0.592009406524563,1.17447536051779
"No Condoms",0.53495806614115,1.24384741214012
"No Acts",0.504058288416911,1.56844036406182
"No Acts",0.340030555666726,0.839602364862397
"No Acts",0.29198822591481,0.563699069918086
"No Acts",0.430862953369417,0.316035223247681
"No Acts",0.520892341528719,0.450196037353884
"No Acts",0.576719006288308,0.605222744598479
"No Acts",0.639714245932168,0.840529001038661
"No Acts",0.666503064632836,1.14206072899476
"No Acts",0.596059483865829,1.35358381589757
"No Differences",0.601369718583516,1.01062723498286
"No Differences",0.383523126868441,0.584351513766267
"No Differences",0.446441794826935,0.282619439503977
"No Differences",0.469178502769633,0.236332114803221
"No Differences",0.596947053426621,0.3157203270164
"No Differences",0.737082185619027,0.403752203107246
"No Differences",0.864781403706376,0.556985185091193
"No Differences",0.926858060031643,0.894422764039472
"No Differences",0.782397380247696,1.0779171844858
